iter	Passed	Remaining
0	35	3549
1	72	3563
2	110	3587
3	148	3569
4	186	3550
5	223	3507
6	258	3427
7	291	3356
8	330	3346
9	368	3316
10	402	3258
11	435	3197
12	466	3119
13	496	3047
14	526	2984
15	558	2932
16	592	2895
17	627	2858
18	659	2810
19	688	2755
20	722	2717
21	756	2682
22	789	2644
23	824	2610
24	856	2569
25	886	2523
26	917	2479
27	951	2446
28	984	2409
29	1017	2374
30	1051	2339
31	1083	2302
32	1113	2260
33	1144	2222
34	1175	2183
35	1207	2146
36	1238	2109
37	1268	2069
38	1299	2032
39	1331	1996
40	1362	1960
41	1395	1927
42	1429	1895
43	1466	1865
44	1502	1836
45	1541	1809
46	1575	1776
47	1608	1742
48	1644	1711
49	1681	1681
50	1720	1652
51	1755	1620
52	1786	1584
53	1816	1547
54	1848	1512
55	1878	1475
56	1910	1440
57	1944	1408
58	1978	1374
59	2012	1341
60	2045	1307
61	2079	1274
62	2110	1239
63	2141	1204
64	2174	1170
65	2208	1137
66	2240	1103
67	2271	1069
68	2303	1035
69	2339	1002
70	2371	968
71	2404	935
72	2437	901
73	2472	868
74	2503	834
75	2533	800
76	2565	766
77	2599	733
78	2633	700
79	2668	667
80	2702	633
81	2733	600
82	2765	566
83	2795	532
84	2825	498
85	2854	464
86	2887	431
87	2923	398
88	2961	365
89	2996	332
90	3028	299
91	3060	266
92	3092	232
93	3125	199
94	3157	166
95	3190	132
96	3223	99
97	3259	66
98	3294	33
99	3328	0
